REF_AREA,TIME_PERIOD,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,war_nextYear
BEN,1983,9.046125403965817,-1.543114818958515,-5.019970494908879,-1.6206819013379534,0.9178837041719002,0.7624850140719595,0.39811425517090804,0.954623936514921,0.16212457308452052,0.3739511739522078,0.34217719039295386,0.45780281650872456,1.5000251658712225,0.1570376249158064,0.580770980794114,0.2451612341186725,0
BEN,1984,9.201969381686986,-1.471207163275204,-4.663706447507502,-1.7256611464112481,0.9770676702522652,0.758885503918911,0.4748454676323164,0.9068593425537257,0.15053134272757848,0.48746876702913283,0.2969707434020054,0.5123899104523412,1.5658102299811725,0.18086868206746087,0.5502268134513915,0.11384406313045753,0
BEN,1985,9.322831299841296,-1.4013167250851997,-4.28390213159419,-1.8262878607107718,1.0250263299384554,0.7498463230783138,0.5497265240110709,0.9032772084567585,0.12180048426648225,0.5986002225078736,0.23772822185818945,0.5646098087320993,1.603216806028631,0.19877732997664502,0.49267237815040227,-0.01869435605084389,0
BEN,1986,9.408607865279311,-1.3339826578123481,-3.8811386282777223,-1.934749569976941,1.0487945317557028,0.7364242255302654,0.6144189319886879,0.9438213852685572,0.07895811796218095,0.7137315160528883,0.16479574296108768,0.603672814087839,1.6134648630962882,0.20832778433122812,0.4168066770525399,-0.14576388675159005,0
BEN,1987,9.474707486118868,-1.2684692751153797,-3.473673956635683,-2.0461514571366677,1.0297474589460485,0.7172920465677846,0.6832181696748609,1.0297856343787015,0.028749345446464233,0.8279361971648185,0.06253435639500253,0.5901472357464038,1.6037091811822966,0.19004836935025748,0.3286672150573793,-0.23791463713402058,0
BEN,1988,9.507340590718549,-1.206957559323637,-3.0535337818679045,-2.1661311266087186,0.9815941644833402,0.6960968250422973,0.7218354116928174,1.1537479594488933,-0.025492251747086022,0.9327324929521296,-0.034197023973780355,0.5759557518868194,1.56595491952702,0.1767622950993184,0.23679580705402012,-0.32381718092447864,0
BEN,1989,9.51189673946319,-1.1464655347097494,-2.642349184166895,-2.2696747793962913,0.9172633575410117,0.6795566729538806,0.7197616104141772,1.2965998335208906,-0.0818286967005061,1.0099239640307447,-0.1045489757477902,0.6068633816330171,1.506352904409546,0.18203135134408335,0.14396636273837074,-0.41017871013781904,0
BEN,1990,9.500341007395937,-1.0894245200665678,-2.2477171335474417,-2.3548252588646696,0.8376502950103498,0.6633981484085109,0.6968943276093131,1.44668216143912,-0.12752038912971259,1.0593374880925923,-0.16633350343823994,0.6330849577888404,1.4330898809177255,0.18999167622846283,0.05749022633619503,-0.47120971322174554,0
BEN,1991,9.46850707119507,-1.0335928903256346,-1.8687158755532582,-2.419637180163703,0.7582948549172435,0.652506575824253,0.6343998075795908,1.590602878804845,-0.16945432020436232,1.0812193957233995,-0.19973515805914988,0.6991404261998447,1.3537057592565482,0.216678496883445,-0.01899385427753608,-0.5165773059871102,0
BEN,1992,9.414474917793362,-0.9825230437255723,-1.4966116589582283,-2.4754047412911935,0.6857913250685232,0.6433479746863114,0.5404783132711944,1.7237231045253498,-0.1864074492491694,1.0571592544364783,-0.2175656009824072,0.7601110941721363,1.2455810224273904,0.2526161564299394,-0.08544296091489838,-0.5593182575800638,0
BEN,1993,9.29812977217869,-0.9266905661051987,-1.014155213265186,-2.436647090866846,0.5398605829535894,0.6309767444265011,0.6459574448021349,1.8284460277257735,0.05454632245302766,1.3713045669875967,0.01087044271141469,0.8381128762047152,1.1271537691738653,0.3425896055895066,-0.14001910627728917,-0.35656045944077835,0
BEN,1994,9.147801455362808,-0.8566647311770401,-0.5300200601490093,-2.285509670539141,0.4809099517414814,0.5914395020633677,0.6086796780481548,1.9515470745814847,-0.03516186119169232,1.3815774835229506,-0.04571462581595957,0.7384539940448394,1.2049018253682038,0.32715947664861117,-0.033132646616094504,-0.26455319571416985,0
BEN,1995,8.987024466378733,-0.8147062960421922,-0.19123228639586173,-2.187385519011213,0.4424865547115906,0.5714206395067286,0.433450755820089,2.0796122948974274,-0.1314750067152792,1.072249243742076,-0.15019012893430012,0.6889687699807674,1.0194210590064945,0.3126720334884417,-0.08508315160352792,-0.5569038784583679,0
BEN,1996,8.879068608921848,-0.7790965067429306,0.046390375842519496,-2.1078443338941097,0.3359068798167149,0.5749508839647548,0.25020359282525073,2.1732599111232562,-0.1672730979742181,0.7683091611087157,-0.23041341533331242,0.6323010874679463,0.8391629882488724,0.3341196881027073,-0.22442371848124923,-0.7385828390772469,0
